dateym,rf
195304,0.0283
195305,0.0305
195306,0.0311
195307,0.0293
195308,0.0295
195309,0.0287
195310,0.0266
195311,0.0268
195312,0.0259
195401,0.0248
195402,0.0247
195403,0.0237
195404,0.0229
195405,0.0237
195406,0.0238
195407,0.023
195408,0.0236
195409,0.0238
195410,0.0243
195411,0.0248
195412,0.0251
195501,0.0261
195502,0.0265
195503,0.0268
195504,0.0275
195505,0.0276
195506,0.0278
195507,0.029
195508,0.0297
195509,0.0297
195510,0.0288
195511,0.0289
195512,0.0296
195601,0.029
195602,0.0284
195603,0.0296
195604,0.0318
195605,0.0307
195606,0.03
195607,0.0311
195608,0.0333
195609,0.0338
195610,0.0334
195611,0.0349
195612,0.0359
195701,0.0346
195702,0.0334
195703,0.0341
195704,0.0348
195705,0.036
195706,0.038
195707,0.0393
195708,0.0393
195709,0.0392
195710,0.0397
195711,0.0372
195712,0.0321
195801,0.0309
195802,0.0305
195803,0.0298
195804,0.0288
195805,0.0292
195806,0.0297
195807,0.032
195808,0.0354
195809,0.0376
195810,0.038
195811,0.0374
195812,0.0386
195901,0.0402
195902,0.0396
195903,0.0399
195904,0.0412
195905,0.0431
195906,0.0434
195907,0.044
195908,0.0443
195909,0.0468
195910,0.0453
195911,0.0453
195912,0.0469
196001,0.0472
196002,0.0449
196003,0.0425
196004,0.0428
196005,0.0435
196006,0.0415
196007,0.039
196008,0.038
196009,0.038
196010,0.0389
196011,0.0393
196012,0.0384
196101,0.0384
196102,0.0378
196103,0.0374
196104,0.0378
196105,0.0371
196106,0.0388
196107,0.0392
196108,0.0404
196109,0.0398
196110,0.0392
196111,0.0394
196112,0.0406
196201,0.0408
196202,0.0404
196203,0.0393
196204,0.0384
196205,0.0387
196206,0.0391
196207,0.0401
196208,0.0398
196209,0.0398
196210,0.0393
196211,0.0392
196212,0.0386
196301,0.0383
196302,0.0392
196303,0.0393
196304,0.0397
196305,0.0393
196306,0.0399
196307,0.0402
196308,0.04
196309,0.0408
196310,0.0411
196311,0.0412
196312,0.0413
196401,0.0417
196402,0.0415
196403,0.0422
196404,0.0423
196405,0.042
196406,0.0417
196407,0.0419
196408,0.0419
196409,0.042
196410,0.0419
196411,0.0415
196412,0.0418
196501,0.0419
196502,0.0421
196503,0.0421
196504,0.042
196505,0.0421
196506,0.0421
196507,0.042
196508,0.0425
196509,0.0429
196510,0.0435
196511,0.0445
196512,0.0462
196601,0.0461
196602,0.0483
196603,0.0487
196604,0.0475
196605,0.0478
196606,0.0481
196607,0.0502
196608,0.0522
196609,0.0518
196610,0.0501
196611,0.0516
196612,0.0484
196701,0.0458
196702,0.0463
196703,0.0454
196704,0.0459
196705,0.0485
196706,0.0502
196707,0.0516
196708,0.0528
196709,0.053
196710,0.0548
196711,0.0575
196712,0.057
196801,0.0553
196802,0.0556
196803,0.0574
196804,0.0564
196805,0.0587
196806,0.0572
196807,0.055
196808,0.0542
196809,0.0546
196810,0.0558
196811,0.057
196812,0.0603
196901,0.0604
196902,0.0619
196903,0.063
196904,0.0617
196905,0.0632
196906,0.0657
196907,0.0672
196908,0.0669
196909,0.0716
196910,0.071
196911,0.0714
196912,0.0765
197001,0.0779
197002,0.0724
197003,0.0707
197004,0.0739
197005,0.0791
197006,0.0784
197007,0.0746
197008,0.0753
197009,0.0739
197010,0.0733
197011,0.0684
197012,0.0639
197101,0.0624
197102,0.0611
197103,0.057
197104,0.0583
197105,0.0639
197106,0.0652
197107,0.0673
197108,0.0658
197109,0.0614
197110,0.0593
197111,0.0581
197112,0.0593
197201,0.0595
197202,0.0608
197203,0.0607
197204,0.0619
197205,0.0613
197206,0.0611
197207,0.0611
197208,0.0621
197209,0.0655
197210,0.0648
197211,0.0628
197212,0.0636
197301,0.0646
197302,0.0664
197303,0.0671
197304,0.0667
197305,0.0685
197306,0.069
197307,0.0713
197308,0.074
197309,0.0709
197310,0.0679
197311,0.0673
197312,0.0674
197401,0.0699
197402,0.0696
197403,0.0721
197404,0.0751
197405,0.0758
197406,0.0754
197407,0.0781
197408,0.0804
197409,0.0804
197410,0.079
197411,0.0768
197412,0.0743
197501,0.075
197502,0.0739
197503,0.0773
197504,0.0823
197505,0.0806
197506,0.0786
197507,0.0806
197508,0.084
197509,0.0843
197510,0.0814
197511,0.0805
197512,0.08
197601,0.0774
197602,0.0779
197603,0.0773
197604,0.0756
197605,0.079
197606,0.0786
197607,0.0783
197608,0.0777
197609,0.0759
197610,0.0741
197611,0.0729
197612,0.0687
197701,0.0721
197702,0.0739
197703,0.0746
197704,0.0737
197705,0.0746
197706,0.0728
197707,0.0733
197708,0.074
197709,0.0734
197710,0.0752
197711,0.0758
197712,0.0769
197801,0.0796
197802,0.0803
197803,0.0804
197804,0.0815
197805,0.0835
197806,0.0846
197807,0.0864
197808,0.0841
197809,0.0842
197810,0.0864
197811,0.0881
197812,0.0901
197901,0.091
197902,0.091
197903,0.0912
197904,0.0918
197905,0.0925
197906,0.0891
197907,0.0895
197908,0.0903
197909,0.0933
197910,0.103
197911,0.1065
197912,0.1039
198001,0.108
198002,0.1241
198003,0.1275
198004,0.1147
198005,0.1018
198006,0.0978
198007,0.1025
198008,0.111
198009,0.1151
198010,0.1175
198011,0.1268
198012,0.1284
198101,0.1257
198102,0.1319
198103,0.1312
198104,0.1368
198105,0.141
198106,0.1347
198107,0.1428
198108,0.1494
198109,0.1532
198110,0.1515
198111,0.1339
198112,0.1372
198201,0.1459
198202,0.1443
198203,0.1386
198204,0.1387
198205,0.1362
198206,0.143
198207,0.1395
198208,0.1306
198209,0.1234
198210,0.1091
198211,0.1055
198212,0.1054
198301,0.1046
198302,0.1072
198303,0.1051
198304,0.104
198305,0.1038
198306,0.1085
198307,0.1138
198308,0.1185
198309,0.1165
198310,0.1154
198311,0.1169
198312,0.1183
198401,0.1167
198402,0.1184
198403,0.1232
198404,0.1263
198405,0.1341
198406,0.1356
198407,0.1336
198408,0.1272
198409,0.1252
198410,0.1216
198411,0.1157
198412,0.115
198501,0.1138
198502,0.1151
198503,0.1186
198504,0.1143
198505,0.1085
198506,0.1016
198507,0.1031
198508,0.1033
198509,0.1037
198510,0.1024
198511,0.0978
198512,0.0926
198601,0.0919
198602,0.087
198603,0.0778
198604,0.073
198605,0.0771
198606,0.078
198607,0.073
198608,0.0717
198609,0.0745
198610,0.0743
198611,0.0725
198612,0.0711
198701,0.0708
198702,0.0725
198703,0.0725
198704,0.0802
198705,0.0861
198706,0.084
198707,0.0845
198708,0.0876
198709,0.0942
198710,0.0952
198711,0.0886
198712,0.0899
198801,0.0867
198802,0.0821
198803,0.0837
198804,0.0872
198805,0.0909
198806,0.0892
198807,0.0906
198808,0.0926
198809,0.0898
198810,0.088
198811,0.0896
198812,0.0911
198901,0.0909
198902,0.0917
198903,0.0936
198904,0.0918
198905,0.0886
198906,0.0828
198907,0.0802
198908,0.0811
198909,0.0819
198910,0.0801
198911,0.0787
198912,0.0784
199001,0.0821
199002,0.0847
199003,0.0859
199004,0.0879
199005,0.0876
199006,0.0848
199007,0.0847
199008,0.0875
199009,0.0889
199010,0.0872
199011,0.0839
199012,0.0808
199101,0.0809
199102,0.0785
199103,0.0811
199104,0.0804
199105,0.0807
199106,0.0828
199107,0.0827
199108,0.079
199109,0.0765
199110,0.0753
199111,0.0742
199112,0.0709
199201,0.0703
199202,0.0734
199203,0.0754
199204,0.0748
199205,0.0739
199206,0.0726
199207,0.0684
199208,0.0659
199209,0.0642
199210,0.0659
199211,0.0687
199212,0.0677
199301,0.066
199302,0.0626
199303,0.0598
199304,0.0597
199305,0.0604
199306,0.0596
199307,0.0581
199308,0.0568
199309,0.0536
199310,0.0533
199311,0.0572
199312,0.0577
199401,0.0575
199402,0.0597
199403,0.0648
199404,0.0697
199405,0.0718
199406,0.071
199407,0.073
199408,0.0724
199409,0.0746
199410,0.0774
199411,0.0796
199412,0.0781
199501,0.0778
199502,0.0747
199503,0.072
199504,0.0706
199505,0.0663
199506,0.0617
199507,0.0628
199508,0.0649
199509,0.062
199510,0.0604
199511,0.0593
199512,0.0571
199601,0.0565
199602,0.0581
199603,0.0627
199604,0.0651
199605,0.0674
199606,0.0691
199607,0.0687
199608,0.0664
199609,0.0683
199610,0.0653
199611,0.062
199612,0.063
199701,0.0658
